slotid,board,initPos,xScale,timestamp
122,C-12 #1,0,1.024,2016-06-14 11:21:21.902000 
123,E-14 #1,0,1.030,2016-06-14 13:25:06.044000 
123,E-14 #1,0,1.030,2016-06-14 13:25:31.307000 
124,A-20 #2,0,0.985,2016-06-14 13:54:52.915000 
124,A-20 #2,0,0.985,2016-06-14 14:26:14.399000 
124,A-20 #2,0,0.985,2016-06-14 14:27:29.207000 
124,A-20 #2,0,0.985,2016-06-14 14:44:31.908000 
124,A-20 #2,0,0.985,2016-06-14 14:56:48.564000 
124,A-20 #2,0,0.985,2016-06-14 15:18:59.959000 
124,A-20 #2,0,0.985,2016-06-14 15:23:04.293000 
124,A-20 #2,0,0.985,2016-06-14 15:25:28.699000 
125,H-18-t #1,0,0.982,2016-06-15 11:45:24.966000 
126,D-34 #1,0,0.982,2016-06-15 12:01:48.067000 
127,L-32-b #1,0,1.000,2016-06-15 12:16:37.677000 
128,B-56 #1,0,1.010,2016-06-15 12:27:41.622000 
129,D-49 #1,0,1.030,2016-06-15 12:36:11.476000 
130,H-9-t #1,0,0.950,2016-06-15 12:49:36.808000 
131,A-5 #1,0,0.980,2016-06-15 13:08:23.684000 
132,C-58 #1,0,1.020,2016-06-15 13:25:14.837000 
133,H-20-t #1,0,0.965,2016-06-15 14:13:55.314000 
134,E-40 #1,0,1.015,2016-06-15 14:41:02.400000 
135,B-57 #1,0,1.015,2016-06-15 15:19:35.602000 
136,C-24 #1,0,1.010,2016-06-15 15:25:02.989000 
137,C-45 #1,0,1.090,2016-06-15 16:27:40.934000 
138,A-8 #2,-30,0.950,2016-06-15 16:45:36.278000 
139,C-4 #1,0,1.025,2016-06-15 17:02:38.405000 
140,E-52 #1,0,1.030,2016-06-15 17:09:23.311000 
141,A-45 #1,0,1.020,2016-06-15 17:30:04.881000 
142,A-29 #2,0,1.025,2016-06-15 18:02:56.239000 
143,C-2 #1,0,1.025,2016-06-15 18:08:11.988000 
144,D-33 #1,0,0.850,2016-06-15 18:23:24.018000 
145,B-51 #1,0,1.000,2016-06-15 18:42:22.882000 
146,E-10 #1,0,0.940,2016-06-15 19:01:10.043000 
147,E-28 #1,0,1.010,2016-06-16 09:31:10.130000 
148,A-59 #1,0,0.985,2016-06-16 10:11:05.920000 
149,A-55 #1,0,1.000,2016-06-16 10:35:00.526000 
150,D-48 #1,0,1.050,2016-06-16 10:43:24.329000 
151,I-16-b #1,0,1.000,2016-06-16 11:07:23.017000 
152,B-14 #1,0,1.000,2016-06-16 11:28:59.873000 
153,D-9 #1,0,1.003,2016-06-16 11:37:30.508000 
154,C-55 #1,0,1.025,2016-06-16 11:54:38.537000 
155,A-36 #1,0,1.000,2016-06-16 12:18:55.188000 
156,A-62 #1,0,1.000,2016-06-16 12:39:40.879000 
157,I-15-t #1,0,1.000,2016-06-16 12:48:17.271000 
158,H-13-t #1,0,0.950,2016-06-16 13:03:20.664000 
159,A-22 #2,-30,0.965,2016-06-16 13:39:43.972000 
160,E-33 #1,0,1.020,2016-06-16 13:53:56.071000 
161,H-21-b #1,0,0.990,2016-06-16 14:04:40.514000 
162,B-18 #1,0,1.020,2016-06-16 14:42:20.849000 
163,B-39 #2,15,1.000,2016-06-16 15:06:55.439000 
164,D-20 #1,0,1.025,2016-06-16 15:22:33.015000 
165,C-32 #1,0,1.050,2016-06-16 15:39:21.974000 
166,B-31 #1,0,1.000,2016-06-16 16:06:54.949000 
167,D-27 #1,0,0.952,2016-06-16 16:22:08.242000 
168,E-48 #1,0,1.030,2016-06-16 16:39:06.988000 
169,A-41 #1,0,0.995,2016-06-16 17:04:25.546000 
170,B-52 #2,125,1.040,2016-06-16 17:22:17.125000 
171,E-24 #1,0,1.000,2016-06-16 17:39:02.853000 
172,C-5 #1,0,1.020,2016-06-16 18:07:19.745000 
173,A-5 #2,-10,0.995,2016-06-17 10:15:46.303000 
174,F-51 #1,0,0.995,2016-06-17 10:28:02.758000 
173,A-5 #2,-10,0.995,2016-06-17 10:30:39.974000 
174,F-51 #1,0,0.995,2016-06-17 10:41:08.247000 
175,C-33 #1,0,1.050,2016-06-17 10:52:39.354000 
176,A-40 #1,0,0.970,2016-06-17 11:04:26.520000 
177,B-47 #1,0,1.000,2016-06-17 11:25:01.939000 
178,H-6-b #1,0,0.965,2016-06-17 11:33:16.207000 
179,B-9 #1,0,0.962,2016-06-17 11:59:46.338000 
180,B-6 #1,0,1.015,2016-06-17 12:37:16.344000 
181,D-37 #1,0,0.995,2016-06-17 12:48:37.403000 
182,E-45 #1,0,1.095,2016-06-17 14:08:24.569000 
183,A-48 #1,0,0.980,2016-06-17 14:36:06.160000 
184,B-43 #1,0,1.025,2016-06-17 15:06:08.947000 
185,H-11-b #1,0,1.000,2016-06-17 15:15:10.015000 
186,D-44 #1,0,1.010,2016-06-17 15:30:46.758000 
187,B-33 #1,0,1.034,2016-06-17 16:23:38.872000 
188,C-41 #1,0,1.008,2016-06-17 16:37:09.320000 
189,C-16 #1,0,1.025,2016-06-17 16:57:32.527000 
190,A-52 #1,0,1.008,2016-06-18 09:22:16.654000 
191,B-50 #2,-15,1.008,2016-06-18 09:41:16.309000 
192,E-20 #1,-15,1.050,2016-06-18 09:50:18.415000 
193,C-14 #1,0,1.010,2016-06-18 10:13:25.738000 
193,C-14 #1,0,1.010,2016-06-18 10:43:31.867000 
194,B-31 #2,0,0.995,2016-06-18 11:30:21.986000 
195,C-60 #1,0,1.030,2016-06-18 11:49:02.304000 
196,C-47 #1,0,1.030,2016-06-18 11:59:28.304000 
197,A-54 #1,0,0.965,2016-06-18 12:19:49.907000 
198,B-40 #1,0,0.965,2016-06-18 12:29:52.280000 
199,C-57 #1,0,1.030,2016-06-18 12:36:59.873000 
200,C-18 #1,0,0.990,2016-06-18 13:00:51.061000 
201,D-1 #1,0,0.995,2016-06-18 13:22:02.323000 
202,E-51 #1,0,1.033,2016-06-18 14:17:47.924000 
203,C-8 #1,0,1.033,2016-06-18 14:37:15.289000 
203,C-8 #1,0,1.033,2016-06-18 14:47:41.140000 
203,C-8 #1,0,1.033,2016-06-18 15:08:16.643000 
203,C-8 #1,0,1.033,2016-06-18 15:08:42.680000 
203,C-8 #1,0,1.033,2016-06-18 15:12:40.806000 
204,B-25 #1,0,1.012,2016-06-18 15:24:59.084000 
204,B-25 #1,0,1.012,2016-06-18 15:25:22.410000 
205,B-6 #2,15,1.012,2016-06-18 15:43:26.675000 
204,B-25 #1,0,1.012,2016-06-18 15:45:05.228000 
205,B-6 #2,15,1.012,2016-06-18 15:54:41.334000 
206,B-61 #1,0,0.980,2016-06-18 16:03:47.718000 
207,D-52 #1,0,1.035,2016-06-18 16:56:04.833000 
